source_battery_id,cycle_number,voltage_mean,current_mean,temperature_mean,temperature_rise_rate,internal_resistance,capacity
CALCE_UNSEEN_101,1,3.777,-1.852,25.11,0.64,0.02135,1.938
CALCE_UNSEEN_101,2,3.774,-1.854,25.22,0.68,0.0217,1.926
CALCE_UNSEEN_101,3,3.771,-1.856,25.33,0.72,0.02205,1.914
CALCE_UNSEEN_101,4,3.768,-1.858,25.44,0.76,0.0224,1.902
CALCE_UNSEEN_101,5,3.765,-1.86,25.55,0.8,0.02275,1.89
CALCE_UNSEEN_101,6,3.767,-1.862,25.66,0.84,0.0231,1.878
CALCE_UNSEEN_101,7,3.759,-1.864,25.77,0.88,0.02345,1.866
CALCE_UNSEEN_101,8,3.756,-1.866,25.88,0.92,0.0238,1.854
CALCE_UNSEEN_101,9,3.753,-1.868,25.99,0.96,0.02415,1.842
CALCE_UNSEEN_101,10,3.75,-1.87,26.1,1.0,0.0245,1.83
CALCE_UNSEEN_101,11,3.747,-1.872,26.21,1.04,0.02485,1.818
CALCE_UNSEEN_101,12,3.749,-1.874,26.32,1.08,0.0252,1.806
CALCE_UNSEEN_101,13,3.741,-1.876,26.43,1.12,0.02555,1.794
CALCE_UNSEEN_101,14,3.738,-1.878,26.54,1.16,0.0259,1.782
CALCE_UNSEEN_101,15,3.735,-1.88,26.65,1.2,0.02625,1.77
CALCE_UNSEEN_101,16,3.732,-1.882,26.76,1.24,0.0266,1.758
CALCE_UNSEEN_101,17,3.729,-1.884,26.87,1.28,0.02695,1.746
CALCE_UNSEEN_101,18,3.731,-1.886,26.98,1.32,0.0273,1.734
CALCE_UNSEEN_101,19,3.723,-1.888,27.09,1.36,0.02765,1.722
CALCE_UNSEEN_101,20,3.72,-1.89,27.2,1.4,0.028,1.71
CALCE_UNSEEN_101,21,3.717,-1.892,27.31,1.44,0.02835,1.698
CALCE_UNSEEN_101,22,3.714,-1.894,27.42,1.48,0.0287,1.686
CALCE_UNSEEN_101,23,3.711,-1.896,27.53,1.52,0.02905,1.674
CALCE_UNSEEN_101,24,3.713,-1.898,27.64,1.56,0.0294,1.662
CALCE_UNSEEN_101,25,3.705,-1.9,27.75,1.6,0.02975,1.65
CALCE_UNSEEN_101,26,3.702,-1.902,27.86,1.64,0.0301,1.638
CALCE_UNSEEN_101,27,3.699,-1.904,27.97,1.68,0.03045,1.626
CALCE_UNSEEN_101,28,3.696,-1.906,28.08,1.72,0.0308,1.614
CALCE_UNSEEN_101,29,3.693,-1.908,28.19,1.76,0.03115,1.602
CALCE_UNSEEN_101,30,3.695,-1.91,28.3,1.8,0.0315,1.59
