source_battery_id,cycle_number,voltage_mean,current_mean,temperature_mean,temperature_rise_rate,internal_resistance,capacity
KAGGLE_UNSEEN_201,1,3.777,-1.852,25.11,0.64,0.02135,2.136
KAGGLE_UNSEEN_201,2,3.774,-1.854,25.22,0.68,0.0217,2.122
KAGGLE_UNSEEN_201,3,3.771,-1.856,25.33,0.72,0.02205,2.108
KAGGLE_UNSEEN_201,4,3.768,-1.858,25.44,0.76,0.0224,2.094
KAGGLE_UNSEEN_201,5,3.765,-1.86,25.55,0.8,0.02275,2.08
KAGGLE_UNSEEN_201,6,3.767,-1.862,25.66,0.84,0.0231,2.066
KAGGLE_UNSEEN_201,7,3.759,-1.864,25.77,0.88,0.02345,2.052
KAGGLE_UNSEEN_201,8,3.756,-1.866,25.88,0.92,0.0238,2.038
KAGGLE_UNSEEN_201,9,3.753,-1.868,25.99,0.96,0.02415,2.024
KAGGLE_UNSEEN_201,10,3.75,-1.87,26.1,1.0,0.0245,2.01
KAGGLE_UNSEEN_201,11,3.747,-1.872,26.21,1.04,0.02485,1.996
KAGGLE_UNSEEN_201,12,3.749,-1.874,26.32,1.08,0.0252,1.982
KAGGLE_UNSEEN_201,13,3.741,-1.876,26.43,1.12,0.02555,1.968
KAGGLE_UNSEEN_201,14,3.738,-1.878,26.54,1.16,0.0259,1.954
KAGGLE_UNSEEN_201,15,3.735,-1.88,26.65,1.2,0.02625,1.94
KAGGLE_UNSEEN_201,16,3.732,-1.882,26.76,1.24,0.0266,1.926
KAGGLE_UNSEEN_201,17,3.729,-1.884,26.87,1.28,0.02695,1.912
KAGGLE_UNSEEN_201,18,3.731,-1.886,26.98,1.32,0.0273,1.898
KAGGLE_UNSEEN_201,19,3.723,-1.888,27.09,1.36,0.02765,1.884
KAGGLE_UNSEEN_201,20,3.72,-1.89,27.2,1.4,0.028,1.87
KAGGLE_UNSEEN_201,21,3.717,-1.892,27.31,1.44,0.02835,1.856
KAGGLE_UNSEEN_201,22,3.714,-1.894,27.42,1.48,0.0287,1.842
KAGGLE_UNSEEN_201,23,3.711,-1.896,27.53,1.52,0.02905,1.828
KAGGLE_UNSEEN_201,24,3.713,-1.898,27.64,1.56,0.0294,1.814
KAGGLE_UNSEEN_201,25,3.705,-1.9,27.75,1.6,0.02975,1.8
KAGGLE_UNSEEN_201,26,3.702,-1.902,27.86,1.64,0.0301,1.786
KAGGLE_UNSEEN_201,27,3.699,-1.904,27.97,1.68,0.03045,1.772
KAGGLE_UNSEEN_201,28,3.696,-1.906,28.08,1.72,0.0308,1.758
KAGGLE_UNSEEN_201,29,3.693,-1.908,28.19,1.76,0.03115,1.744
KAGGLE_UNSEEN_201,30,3.695,-1.91,28.3,1.8,0.0315,1.73
