source_battery_id,cycle_number,voltage_mean,current_mean,temperature_mean,temperature_rise_rate,internal_resistance,capacity
KAGGLE_UNSEEN_FAULT_401,1,3.7782,-1.851,25.03,0.71,0.02108,2.1573
KAGGLE_UNSEEN_FAULT_401,2,3.7764,-1.852,25.06,0.72,0.02116,2.1546
KAGGLE_UNSEEN_FAULT_401,3,3.7746,-1.853,25.09,0.73,0.02124,2.1518
KAGGLE_UNSEEN_FAULT_401,4,3.7728,-1.854,25.12,0.74,0.02132,2.1491
KAGGLE_UNSEEN_FAULT_401,5,3.771,-1.855,25.15,0.75,0.0214,2.1463
KAGGLE_UNSEEN_FAULT_401,6,3.7692,-1.856,25.18,0.76,0.02148,2.1435
KAGGLE_UNSEEN_FAULT_401,7,3.7674,-1.857,25.21,0.77,0.02156,2.1408
KAGGLE_UNSEEN_FAULT_401,8,3.7656,-1.858,25.24,0.78,0.02164,2.138
KAGGLE_UNSEEN_FAULT_401,9,3.7638,-1.859,25.27,0.79,0.02172,2.1352
KAGGLE_UNSEEN_FAULT_401,10,3.762,-1.86,25.3,0.8,0.0218,2.1324
KAGGLE_UNSEEN_FAULT_401,11,3.7602,-1.861,25.33,0.81,0.02188,2.1296
KAGGLE_UNSEEN_FAULT_401,12,3.7584,-1.862,25.36,0.82,0.02196,2.1268
KAGGLE_UNSEEN_FAULT_401,13,3.7566,-1.863,25.39,0.83,0.02204,2.124
KAGGLE_UNSEEN_FAULT_401,14,3.7548,-1.864,25.42,0.84,0.02212,2.1212
KAGGLE_UNSEEN_FAULT_401,15,3.753,-1.865,25.45,0.85,0.0222,2.1184
KAGGLE_UNSEEN_FAULT_401,16,3.7512,-1.866,25.48,0.86,0.02228,2.1155
KAGGLE_UNSEEN_FAULT_401,17,3.7494,-1.867,25.51,0.87,0.02236,2.1127
KAGGLE_UNSEEN_FAULT_401,18,3.7476,-1.868,25.54,0.88,0.02244,2.1099
KAGGLE_UNSEEN_FAULT_401,19,3.7458,-1.869,25.57,0.89,0.02252,2.107
KAGGLE_UNSEEN_FAULT_401,20,3.744,-1.87,25.6,0.9,0.0226,2.1042
KAGGLE_UNSEEN_FAULT_401,21,3.7422,-1.871,25.63,0.91,0.02268,2.1013
KAGGLE_UNSEEN_FAULT_401,22,3.7404,-1.872,25.66,0.92,0.02276,2.0985
KAGGLE_UNSEEN_FAULT_401,23,3.7386,-1.873,25.69,0.93,0.02284,2.0956
KAGGLE_UNSEEN_FAULT_401,24,3.7368,-1.874,25.72,0.94,0.02292,2.0928
KAGGLE_UNSEEN_FAULT_401,25,3.735,-1.875,25.75,0.95,0.023,2.0899
KAGGLE_UNSEEN_FAULT_401,26,3.7332,-1.876,25.78,0.96,0.02308,2.087
KAGGLE_UNSEEN_FAULT_401,27,3.7314,-1.877,25.81,0.97,0.02316,2.0842
KAGGLE_UNSEEN_FAULT_401,28,3.7296,-1.878,25.84,0.98,0.02324,2.0813
KAGGLE_UNSEEN_FAULT_401,29,3.7278,-1.879,25.87,0.99,0.02332,2.0784
KAGGLE_UNSEEN_FAULT_401,30,3.726,-1.88,25.9,1.0,0.0234,2.0755
KAGGLE_UNSEEN_FAULT_401,31,3.7242,-1.881,25.93,1.01,0.02348,2.0727
KAGGLE_UNSEEN_FAULT_401,32,3.7224,-1.882,25.96,1.02,0.02356,2.0698
KAGGLE_UNSEEN_FAULT_401,33,3.7206,-1.883,25.99,1.03,0.02364,2.0669
KAGGLE_UNSEEN_FAULT_401,34,3.7188,-1.884,26.02,1.04,0.02372,2.064
KAGGLE_UNSEEN_FAULT_401,35,3.717,-1.885,26.05,1.05,0.0238,2.0611
KAGGLE_UNSEEN_FAULT_401,36,3.7152,-1.886,26.08,1.06,0.02388,2.0582
KAGGLE_UNSEEN_FAULT_401,37,3.7134,-1.887,26.11,1.07,0.02396,2.0553
KAGGLE_UNSEEN_FAULT_401,38,3.7116,-1.888,26.14,1.08,0.02404,2.0523
KAGGLE_UNSEEN_FAULT_401,39,3.7098,-1.889,26.17,1.09,0.02412,2.0494
KAGGLE_UNSEEN_FAULT_401,40,3.708,-1.89,26.2,1.1,0.0242,2.0465
