battery_id,canonical_battery_id,source,dataset_name,source_battery_id,cycle_number,timestamp,ambient_temperature,source_type,voltage_mean,voltage_std,voltage_min,voltage_max,current_mean,current_std,current_load_mean,temperature_mean,temperature_std,temperature_rise_rate,internal_resistance,capacity,initial_capacity,capacity_ratio,eol_cycle,RUL,health_score,status
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,1,2026-01-01T00:01:00,29.014,kaggle_cycle,3.6767,0.0639,3.4588,4.1686,-1.8196,0.1156,-1.6927,26.2333,1.34,0.8076,0.02004,2.03774,2.03774,1.0,80,79,100.0,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,2,2026-01-01T00:02:00,27.649,kaggle_cycle,3.684,0.0623,3.4363,4.1136,-1.8005,0.1339,-1.6713,26.3615,1.5143,0.4586,0.01571,2.02922,2.03774,0.9958188974059498,80,78,99.58188974059497,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,3,2026-01-01T00:03:00,24.02,kaggle_cycle,3.6726,0.0649,3.4092,4.1544,-1.8648,0.1135,-1.7433,26.2047,1.4901,0.3888,0.02693,2.05423,2.03774,1.0080922983305034,80,77,100.0,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,4,2026-01-01T00:04:00,23.018,kaggle_cycle,3.7304,0.0587,3.454,4.09,-1.8156,0.125,-1.7047,26.0538,1.3722,0.2167,0.02555,2.02896,2.03774,0.9956913050732675,80,76,99.56913050732675,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,5,2026-01-01T00:05:00,25.768,kaggle_cycle,3.6713,0.0692,3.4742,4.1167,-1.7301,0.1213,-1.6886,26.0765,1.4735,0.7095,0.0244,2.03705,2.03774,0.9996613895786508,80,75,99.96613895786508,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,6,2026-01-01T00:06:00,23.643,kaggle_cycle,3.6648,0.053,3.4685,4.1,-1.8103,0.1127,-1.667,23.2577,1.3814,0.5712,0.02736,2.01206,2.03774,0.9873978034489189,80,74,98.7397803448919,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,7,2026-01-01T00:07:00,22.564,kaggle_cycle,3.7101,0.0581,3.4114,4.0892,-1.8407,0.1331,-1.7036,25.2393,1.4745,0.7822,0.01556,2.01494,2.03774,0.9888111339032459,80,73,98.8811133903246,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,8,2026-01-01T00:08:00,21.364,kaggle_cycle,3.6758,0.0661,3.4659,4.0876,-1.7436,0.1386,-1.7014,23.0796,1.6438,0.2755,0.02402,1.98119,2.03774,0.972248667641603,80,72,97.2248667641603,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,9,2026-01-01T00:09:00,29.006,kaggle_cycle,3.6907,0.0573,3.4657,4.079,-1.7291,0.129,-1.7359,23.4477,1.5938,1.0396,0.02283,2.01912,2.03774,0.9908624260209841,80,71,99.08624260209841,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,10,2026-01-01T00:10:00,29.497,kaggle_cycle,3.7432,0.055,3.4885,4.0938,-1.8604,0.1323,-1.7171,25.3373,1.456,0.8735,0.01854,2.01231,2.03774,0.9875204883841903,80,70,98.75204883841903,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,11,2026-01-01T00:11:00,21.443,kaggle_cycle,3.6675,0.0694,3.4439,4.0954,-1.7857,0.1196,-1.7125,26.7948,1.4266,0.5814,0.02524,1.98343,2.03774,0.973347924661635,80,69,97.3347924661635,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,12,2026-01-01T00:12:00,28.794,kaggle_cycle,3.7437,0.0573,3.4716,4.1521,-1.8766,0.1387,-1.6894,26.3659,1.5649,1.0468,0.02536,2.01135,2.03774,0.9870493782327482,80,68,98.70493782327482,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,13,2026-01-01T00:13:00,22.397,kaggle_cycle,3.7053,0.0562,3.4958,4.1063,-1.75,0.1049,-1.6633,26.4306,1.4554,1.0188,0.02089,1.99639,2.03774,0.9797079117061059,80,67,97.9707911706106,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,14,2026-01-01T00:14:00,22.555,kaggle_cycle,3.659,0.0665,3.4235,4.091,-1.7376,0.1366,-1.6869,26.5179,1.6067,0.5657,0.01551,2.00326,2.03774,0.9830792937273647,80,66,98.30792937273647,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,15,2026-01-01T00:15:00,28.232,kaggle_cycle,3.744,0.0594,3.4413,4.1541,-1.7652,0.1351,-1.668,26.2976,1.5794,0.6557,0.02028,1.99209,2.03774,0.9775977308194372,80,65,97.75977308194372,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,16,2026-01-01T00:16:00,28.134,kaggle_cycle,3.7238,0.0591,3.4027,4.0752,-1.7773,0.1252,-1.6709,23.5444,1.4603,0.7655,0.01971,1.97177,2.03774,0.9676258992805756,80,64,96.76258992805757,good
kaggle::kaggle_demo::KAGGLE_000,kaggle::kaggle_demo::KAGGLE_000,kaggle,kaggle_demo,KAGGLE_000,17,2026-01-01T00:17:00,21.578,kaggle_cycle,3.7016,0.0694,3.4831,4.1463,-1.7445,0.1274,-1.6707,24.2776,1.4913,0.8617,0.01891,1.93612,2.03774,0.95013102751087,80,63,95.013102751087,good
