source_battery_id,cycle_number,timestamp,ambient_temperature,voltage_mean,voltage_std,voltage_min,voltage_max,current_mean,current_std,current_load_mean,temperature_mean,temperature_std,temperature_rise_rate,internal_resistance,capacity
KAGGLE_000,1,2026-01-01T00:01:00,29.014,3.6767,0.0639,3.4588,4.1686,-1.8196,0.1156,-1.6927,26.2333,1.34,0.8076,0.02004,2.03774
KAGGLE_000,2,2026-01-01T00:02:00,27.649,3.684,0.0623,3.4363,4.1136,-1.8005,0.1339,-1.6713,26.3615,1.5143,0.4586,0.01571,2.02922
KAGGLE_000,3,2026-01-01T00:03:00,24.02,3.6726,0.0649,3.4092,4.1544,-1.8648,0.1135,-1.7433,26.2047,1.4901,0.3888,0.02693,2.05423
KAGGLE_000,4,2026-01-01T00:04:00,23.018,3.7304,0.0587,3.454,4.09,-1.8156,0.125,-1.7047,26.0538,1.3722,0.2167,0.02555,2.02896
KAGGLE_000,5,2026-01-01T00:05:00,25.768,3.6713,0.0692,3.4742,4.1167,-1.7301,0.1213,-1.6886,26.0765,1.4735,0.7095,0.0244,2.03705
KAGGLE_000,6,2026-01-01T00:06:00,23.643,3.6648,0.053,3.4685,4.1,-1.8103,0.1127,-1.667,23.2577,1.3814,0.5712,0.02736,2.01206
KAGGLE_000,7,2026-01-01T00:07:00,22.564,3.7101,0.0581,3.4114,4.0892,-1.8407,0.1331,-1.7036,25.2393,1.4745,0.7822,0.01556,2.01494
KAGGLE_000,8,2026-01-01T00:08:00,21.364,3.6758,0.0661,3.4659,4.0876,-1.7436,0.1386,-1.7014,23.0796,1.6438,0.2755,0.02402,1.98119
KAGGLE_000,9,2026-01-01T00:09:00,29.006,3.6907,0.0573,3.4657,4.079,-1.7291,0.129,-1.7359,23.4477,1.5938,1.0396,0.02283,2.01912
KAGGLE_000,10,2026-01-01T00:10:00,29.497,3.7432,0.055,3.4885,4.0938,-1.8604,0.1323,-1.7171,25.3373,1.456,0.8735,0.01854,2.01231
KAGGLE_000,11,2026-01-01T00:11:00,21.443,3.6675,0.0694,3.4439,4.0954,-1.7857,0.1196,-1.7125,26.7948,1.4266,0.5814,0.02524,1.98343
KAGGLE_000,12,2026-01-01T00:12:00,28.794,3.7437,0.0573,3.4716,4.1521,-1.8766,0.1387,-1.6894,26.3659,1.5649,1.0468,0.02536,2.01135
KAGGLE_000,13,2026-01-01T00:13:00,22.397,3.7053,0.0562,3.4958,4.1063,-1.75,0.1049,-1.6633,26.4306,1.4554,1.0188,0.02089,1.99639
KAGGLE_000,14,2026-01-01T00:14:00,22.555,3.659,0.0665,3.4235,4.091,-1.7376,0.1366,-1.6869,26.5179,1.6067,0.5657,0.01551,2.00326
KAGGLE_000,15,2026-01-01T00:15:00,28.232,3.744,0.0594,3.4413,4.1541,-1.7652,0.1351,-1.668,26.2976,1.5794,0.6557,0.02028,1.99209
KAGGLE_000,16,2026-01-01T00:16:00,28.134,3.7238,0.0591,3.4027,4.0752,-1.7773,0.1252,-1.6709,23.5444,1.4603,0.7655,0.01971,1.97177
KAGGLE_000,17,2026-01-01T00:17:00,21.578,3.7016,0.0694,3.4831,4.1463,-1.7445,0.1274,-1.6707,24.2776,1.4913,0.8617,0.01891,1.93612
